MPI Transpose,MPI CheckSym,MPI Block Transpose,Serial Transpose,Serial CheckSym,Block Transpose,N,Process
2.03133e-06,1.36375e-06,6.38008e-06,2.00272e-07,3.52859e-07,2.00272e-07,16,1
3.97682e-06,2.48909e-06,9.71794e-06,8.96454e-07,1.28746e-06,7.62939e-07,32,1
9.6035e-06,5.35965e-06,2.4662e-05,7.8392e-06,4.30107e-06,2.61307e-06,64,1
4.05407e-05,1.61457e-05,0.00011961,7.32517e-05,1.98269e-05,1.32751e-05,128,1
0.000256042,4.70257e-05,0.0005445,0.00019557,7.32517e-05,2.94018e-05,256,1
0.00179751,0.00036974,0.00257672,0.00129076,0.000867834,9.09138e-05,512,1
0.00750003,0.00160119,0.0117505,0.00597523,0.00376721,0.00035717,1024,1
0.0633116,0.0151976,0.095043,0.0368426,0.0344235,0.00153765,2048,1
0.255092,0.0878801,0.392711,0.206021,0.167833,0.00624301,4096,1
5.35011e-06,3.01361e-06,5.76019e-06,2.19345e-07,3.62396e-07,1.62125e-07,16,2
4.92859e-05,8.59261e-06,6.57082e-06,9.34601e-07,1.13487e-06,6.38962e-07,32,2
1.54305e-05,9.80377e-06,6.32286e-06,7.27654e-06,4.03404e-06,2.44141e-06,64,2
0.000140676,3.96252e-05,6.07491e-06,5.82314e-05,1.53351e-05,1.08433e-05,128,2
0.000163136,8.79574e-05,6.87599e-06,0.000194187,7.3204e-05,3.00789e-05,256,2
0.00175184,0.000862684,6.86646e-06,0.00134965,0.000828209,9.28211e-05,512,2
0.0072562,0.00402328,6.9809e-06,0.0057745,0.00343868,0.000366983,1024,2
0.0362511,0.0198024,1.61457e-05,0.0324489,0.0331311,0.00148796,2048,2
0.191437,0.0919187,1.90735e-05,0.186872,0.163566,0.00636593,4096,2
1.28746e-05,7.38144e-06,1.1034e-05,2.19345e-07,3.71933e-07,2.09808e-07,16,4
2.02084e-05,1.15108e-05,1.46294e-05,9.25064e-07,1.14441e-06,6.58035e-07,32,4
8.35037e-05,1.86825e-05,1.56116e-05,4.92096e-06,2.77519e-06,1.64032e-06,64,4
0.000227461,8.93688e-05,5.74684e-05,5.33199e-05,1.40095e-05,9.79424e-06,128,4
0.000524254,0.00026926,0.000287857,0.000174999,6.67191e-05,2.69222e-05,256,4
0.00226054,0.00140361,0.00105613,0.0011941,0.000858431,9.30405e-05,512,4
0.009217,0.00792645,0.00546578,0.00665907,0.00387404,0.000381393,1024,4
0.0389713,0.0229972,0.0231786,0.0338775,0.0385495,0.00154753,2048,4
0.187583,0.121717,0.135042,0.184074,0.168767,0.00637738,4096,4
7.65324e-05,1.02711e-05,4.673e-06,1.71661e-07,2.47955e-07,1.62125e-07,16,8
8.29029e-05,1.73187e-05,4.4632e-06,6.48499e-07,8.2016e-07,4.48227e-07,32,8
8.81958e-05,5.31483e-05,6.69479e-06,8.81195e-06,4.94957e-06,2.8801e-06,64,8
0.000208006,0.000129042,7.72476e-06,8.44097e-05,2.20966e-05,1.62888e-05,128,8
0.000814056,0.000463209,6.06537e-06,0.000197124,7.01046e-05,2.90394e-05,256,8
0.00251341,0.00169927,5.76973e-06,0.00114927,0.000812426,9.60732e-05,512,8
0.010898,0.00791389,8.99315e-06,0.00546546,0.00361829,0.000377779,1024,8
0.0633508,0.0494309,1.36566e-05,0.0401902,0.0567743,0.0015814,2048,8
0.343033,0.22107,1.76525e-05,0.278463,0.167091,0.00660918,4096,8
2.32124e-05,1.4534e-05,6.54888e-05,3.14713e-07,5.62668e-07,2.67029e-07,16,16
4.51279e-05,3.49331e-05,8.52966e-05,1.5831e-06,1.93596e-06,1.1158e-06,32,16
0.000115032,5.43976e-05,5.41878e-05,5.62668e-06,3.01361e-06,1.80244e-06,64,16
0.000294104,0.000149183,8.52871e-05,4.73309e-05,1.29318e-05,8.58307e-06,128,16
0.000662727,0.000475388,0.000210018,0.000171614,6.57558e-05,2.63786e-05,256,16
0.00367833,0.00266511,0.000858088,0.00117318,0.000839224,9.5396e-05,512,16
0.0151717,0.0117328,0.00489713,0.00647772,0.00404841,0.000386057,1024,16
0.0734134,0.0581781,0.0217764,0.0320342,0.0375938,0.00157525,2048,16
0.328391,0.278809,0.0958322,0.172359,0.171698,0.00678525,4096,16
0.000111828,3.60966e-05,5.42641e-06,5.72205e-07,7.15256e-07,4.1008e-07,32,32
0.000124569,9.3708e-05,6.6185e-06,7.09534e-06,3.87192e-06,2.3365e-06,64,32
0.000355387,0.000248556,5.85556e-06,5.88989e-05,1.54686e-05,1.09577e-05,128,32
0.00109295,0.000803785,6.47545e-06,0.000181313,6.93893e-05,2.86007e-05,256,32
0.00359159,0.00278905,9.57489e-06,0.0013193,0.000877047,9.64642e-05,512,32
0.0172867,0.0137635,1.69277e-05,0.00696824,0.00389886,0.000389185,1024,32
0.0905933,0.0760863,1.44958e-05,0.0408937,0.0694188,0.00168033,2048,32
0.490403,0.410732,2.01893e-05,0.216148,0.178586,0.00669991,4096,32
0.00023159,0.00010397,0.000109587,4.50134e-06,2.21252e-06,1.32561e-06,64,64
0.000611849,0.000498056,0.000155764,4.84943e-05,1.39523e-05,8.86917e-06,128,64
0.00147389,0.00108464,0.000284271,0.000190144,7.12109e-05,3.01743e-05,256,64
0.00676572,0.00504048,0.00119563,0.00146109,0.000833187,9.89437e-05,512,64
0.0402555,0.0350914,0.00547964,0.00693471,0.00439625,0.00039113,1024,64
0.155749,0.138444,0.0235733,0.0372633,0.0727861,0.0017239,2048,64
0.674981,0.592833,0.104871,0.235202,0.25437,0.00736479,4096,64
