Threads,Matrix Size,Transpose Time,Check Symmetry Time
1,16,1.35684e-06,1.34168e-06
1,32,3.0792e-06,3.16988e-06
1,64,1.20043e-05,7.50964e-06
1,128,4.0545e-05,1.99973e-05
1,256,0.00015822,7.5453e-05
1,512,0.000446851,0.000182465
1,1024,0.00165653,0.000616195
1,2048,0.0266353,0.00912169
1,4096,0.142028,0.0591652
4,16,1.74697e-05,1.5914e-05
4,32,1.61214e-05,1.4412e-05
4,64,2.79252e-05,1.82363e-05
4,128,5.61013e-05,2.83013e-05
4,256,9.23714e-05,5.25813e-05
4,512,0.000258722,0.000116185
4,1024,0.000801362,0.000347677
4,2048,0.00430698,0.00485294
4,4096,0.0363371,0.0261194
16,16,4.22335e-05,4.88026e-05
16,32,2.95898e-05,5.60638e-05
16,64,3.06438e-05,6.47389e-05
16,128,3.44157e-05,7.22944e-05
16,256,5.85799e-05,6.16845e-05
16,512,0.000129344,6.22858e-05
16,1024,0.000373922,0.000166436
16,2048,0.00140654,0.00159333
16,4096,0.0100126,0.00795205
64,16,9.4162e-05,0.000187944
64,32,0.000105838,0.000192631
64,64,0.000136043,0.000280316
64,128,7.94938e-05,0.000284607
64,256,8.93936e-05,0.000309175
64,512,0.00010984,0.000295361
64,1024,0.000228112,0.000382537
64,2048,0.000653515,0.000546016
64,4096,0.00432003,0.00290059
